"","AGAL_control_differentiated_1","AGAL_control_undifferentiated_1","AGAL_control_differentiated_2","AGAL_control_undifferentiated_2","AGAL_control_differentiated_3","AGAL_control_undifferentiated_3","AGAL_knockout_differentiated_1","AGAL_knockout_undifferentiated_1","AGAL_knockout_differentiated_2","AGAL_knockout_undifferentiated_2","AGAL_knockout_differentiated_3","AGAL_knockout_undifferentiated_3"
"ENSBTAG00000008649",723.203804773911,1005.69341094302,931.521877110305,1159.97047296024,941.680756337357,1038.8090987322,774.390846572703,949.424147972304,825.338234365513,1089.7005697853,735.224233695837,944.128508075691
"ENSBTAG00000008650",108.386381175624,278.853886493086,220.121363189553,249.547322002609,116.010296247791,194.349217404693,217.745017044508,191.452599818567,152.658716020329,237.348837450897,185.150325972536,270.447393291744
"ENSBTAG00000008654",148.650487540922,65.3832522155318,215.219355526912,70.5068201127779,316.810644874429,60.0437579672605,199.872492073267,70.4861880974108,213.861694841461,62.9189256771834,276.035867388192,131.407753342178
"ENSBTAG00000008656",811.185695840672,270.09414973266,457.767377697206,267.69472481817,991.339384677544,434.075673697268,378.115061727462,278.97287995773,592.925466488847,301.191616388873,526.155413458505,419.216496791973
"ENSBTAG00000008664",637.780425996005,1083.89944516766,602.758390644203,943.413146834545,519.707802476522,1077.48480562624,738.000736642625,1158.83443068989,652.558818687851,923.6619567718,662.063241137516,1048.56259492646
"ENSBTAG00000008665",1134.49630991449,578.950896705788,1165.82854184669,542.900235363134,998.403495824863,585.578048980506,1190.03387539165,664.224632147162,956.765252836191,398.36853021657,780.872033324982,448.685789369676
"ENSBTAG00000008674",957.477612998473,1920.12236204164,962.342385450528,1775.04015979591,1032.31067843717,2184.72279043782,1019.09302622485,1922.36732075711,1079.58593608532,2057.89494147466,1207.09440907839,1919.08810846667
"ENSBTAG00000008682",201.001284153129,149.421241110351,304.74597181086,101.365024494027,311.30397032245,108.818942656933,250.823736159173,90.9683267766265,183.028491009584,151.086758194043,165.185521828978,71.2601952206542
"ENSBTAG00000008683",7948.26228434208,25646.7585766023,8303.13152563959,21691.1504379695,6770.38428474517,24764.859737057,11541.9543529912,27091.3994450835,7601.9998600078,23865.9989112231,6298.32008884168,20405.1754663335
"ENSBTAG00000008685",291.881472821255,325.709593511963,283.074881261514,408.341772581519,270.72240189612,365.474343473176,320.146175910779,372.060390127168,276.025528471729,349.331551549655,310.598971683988,395.944451009427
"ENSBTAG00000008688",456.447091843522,281.751155813646,333.751754062441,82.4027261991808,332.7875437301,229.160122533094,107.020373572786,36.099040963186,533.982169361153,130.229841175883,458.289714519261,558.263807791045
"ENSBTAG00000008690",2799.66075705142,556.38312955066,2866.13466806819,370.388607306853,3670.16943382884,257.745303566808,2199.80747639391,137.023760385073,2727.98398339772,243.59225554554,2412.96822042478,523.572810320302
"ENSBTAG00000008692",323.169041266272,628.277213391044,301.313348496647,546.527036385884,353.668298847247,744.247944413794,311.741130233276,703.04057465417,352.51590687184,586.870616474,321.549946993432,550.807287742542
"ENSBTAG00000008695",640.283712907323,577.995943838002,576.130115510397,651.440815540733,603.59844760245,690.924569456184,682.227004554318,593.654989729758,600.858677320193,577.265639079875,679.793769183717,759.309463300124
"ENSBTAG00000008696",3515.42609967367,6533.82470407971,3209.90204519564,6345.71570241931,4002.46090490185,7975.89320163883,3614.3823305599,6200.50218868465,3391.79281010045,6775.22406346743,4158.27431230195,6749.57985275073
"ENSBTAG00000008699",957.449359640932,1029.92588353023,911.169599111406,983.311862684881,841.578151402548,865.684503728355,945.05616986322,941.719152803763,927.171685763585,978.71168607265,909.109443505689,790.896972865892
"ENSBTAG00000008703",505.248127929529,663.680147405359,584.547764910915,699.376304657827,437.712745323162,778.090200342535,652.783299804867,736.778600501916,475.726805789856,812.427341651319,430.344724648261,624.557496478445
"ENSBTAG00000008704",381.246246081098,527.435662536256,341.47459920921,497.976466700187,349.368627566258,406.504404291755,186.315572740158,473.005770254026,355.243638520357,453.796330350035,480.326142262248,515.571836700961
"ENSBTAG00000008705",118.466281943067,235.181883123587,300.207342198635,411.031442346624,206.218833135021,212.279154014867,174.971245966302,169.692546427554,214.414462399463,330.626936112324,238.050301575797,326.697731542922
"ENSBTAG00000008709",579.808925911465,554.138789436285,594.130709825789,527.12713662402,1090.92268065121,703.734049041522,751.865930209745,455.500658728328,572.020499162334,550.000878076927,714.379335198732,485.066599086308
"ENSBTAG00000008711",99.7886354030933,44.2688282250582,79.8991788356016,77.0797878562951,97.7896757610786,49.3479255433902,102.402534283951,26.7963372914185,108.577295187234,51.8029060764433,91.2834910605135,42.764482050794
"ENSBTAG00000008713",352.813110617538,202.717945039738,319.213500203602,174.752840209081,295.185412626655,218.96300638612,398.947390200219,313.495869294315,347.33192418615,125.684542514379,315.889508551813,191.940951499707
"ENSBTAG00000008716",2035.70662150969,4947.89924477861,2164.72985768687,4618.10513736919,2135.6728309449,5104.65007573217,2166.40706173641,4770.65960904848,2271.46031683324,5362.86788149107,2300.07450504724,4519.47664335282
"ENSBTAG00000008717",4358.16347456723,13552.7880434272,6361.93786693524,17744.9361715355,5917.1185305782,18155.2516015027,8292.49235588569,14277.5867193123,6269.27836028761,17012.0797895864,5077.14095286689,15957.8043903375
"ENSBTAG00000008719",631.234111445128,1462.77938959316,900.448914630285,1414.43786624045,735.866952540236,1069.8768444079,1101.32777709829,1134.44021520004,822.626487648135,1302.76335312049,617.84988930551,1390.07994523165
"ENSBTAG00000008721",494.451530742271,843.938065688851,396.878306905074,653.169584360535,581.485670034265,707.865265628854,483.316667147216,889.176685849528,262.179459777,466.989091405717,312.024853718587,541.434912899677
"ENSBTAG00000008723",8.97707497378622,28.9258252248622,5.57823077449743,48.2660494480127,3.26089586415714,7.15298753183675,10.8306434989982,14.1888501405572,2.50000485149153,48.3919294912382,4.2304316853555,33.7376705702019
